,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,META,682,149.84759521484375,897803.9400634766
1,2019-01-31,BUY,NFLX,2635,340.6600036621094,164.83041381835938
2,2019-02-28,SELL,NFLX,482,362.8699951171875,175068.16806030273
3,2019-02-28,BUY,META,1079,162.19044494628906,64.67796325683594
4,2019-03-29,SELL,META,133,164.92002868652344,21999.041778564453
5,2019-03-29,BUY,NFLX,62,354.6099853515625,13.222686767578125
6,2019-04-30,SELL,NFLX,182,371.8299865722656,67686.28024291992
7,2019-04-30,BUY,META,348,194.03878784179688,160.78207397460938
8,2019-05-31,SELL,NFLX,475,351.8500061035156,167289.53497314453
9,2019-05-31,BUY,META,247,182.3135528564453,122258.08741760254
10,2019-05-31,BUY,MSFT,1023,119.45333862304688,57.32200622558594
11,2019-06-04,SELL,META,2223,163.5253448486328,363574.1636047363
12,2019-06-28,SELL,NFLX,189,370.0199890136719,433507.9415283203
13,2019-06-28,BUY,META,2164,188.7788848876953,24990.434631347656
14,2019-06-28,BUY,MSFT,195,127.45296478271484,137.10649871826172
15,2019-07-20,SELL,NFLX,1369,315.1000061035156,431509.01485443115
16,2019-07-31,BUY,META,105,196.29017639160156,410898.546333313
17,2019-07-31,BUY,MSFT,181,133.34347534179688,386763.37729644775
18,2019-07-31,BUY,NFLX,1186,325.92999267578125,210.4059829711914
19,2019-08-24,SELL,NFLX,1186,291.44000244140625,345858.248878479
20,2019-08-30,SELL,META,493,184.8638458251953,436996.1248703003
21,2019-08-30,SELL,MSFT,1398,131.66180419921875,621059.3271408081
22,2019-08-30,BUY,NFLX,2092,296.7799987792969,195.56969451904297
23,2019-09-24,SELL,NFLX,2092,265.9200134277344,556500.2377853394
24,2019-09-28,SELL,META,1776,176.4260711669922,869832.9401779175
25,2019-09-30,BUY,NFLX,3306,263.0799865722656,90.50457000732422
26,2019-10-31,SELL,MSFT,1,137.84829711914062,228.35286712646484
27,2019-11-29,SELL,NFLX,762,315.92999267578125,240967.00728607178
28,2019-11-29,BUY,META,1197,201.23129272460938,93.14989471435547
29,2019-12-31,SELL,META,1196,203.63214111328125,243637.19066619873
30,2019-12-31,BUY,NFLX,753,323.30999755859375,184.76250457763672
