,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104969024658,10137.200454235077
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.544188976287842
2,2019-02-28,SELL,NVDA,12749,3.8539791107177734,49143.92387151718
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.5155959129333496
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.141931056976
5,2019-03-29,SELL,NVDA,25169,4.400113582611084,162996.60069179535
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,3.8979692459106445
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.45082569122
8,2019-04-30,SELL,NVDA,18473,4.451747894287109,227104.589676857
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.10970401763916
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.80088233948
11,2019-05-31,BUY,NVDA,38293,3.4572558403015137,66088.10298967361
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.333221912384033
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.4530339241
14,2019-06-28,BUY,NVDA,12893,4.056700706481934,0.410825252532959
15,2019-07-31,SELL,NVDA,955,4.360400676727295,4164.5934715271
16,2019-07-31,BUY,TSLA,257,16.150667190551758,13.872003555297852
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.000813484192
18,2019-08-30,BUY,NVDA,377,4.154505252838135,27242.752333164215
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,16.7631573677063
20,2019-09-30,SELL,NVDA,2049,4.272921085357666,8771.978461265564
21,2019-09-30,BUY,TSLA,543,16.142000198364258,6.872353553771973
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19516.49252796173
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15727.642369270325
24,2019-10-31,BUY,NVDA,3061,5.050086975097656,269.3261384963989
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32404.456782341003
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28613.29687023163
27,2019-11-29,BUY,NVDA,5232,5.433221340179443,186.68281841278076
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1156.612811088562
29,2019-12-31,SELL,NVDA,11901,5.783753871917725,69989.0676407814
30,2019-12-31,BUY,CSCO,1730,40.4477424621582,14.473181247711182
