,Date,Action,Ticker,Quantity,Price,Cash
0,2010-01-29,BUY,AAPL,54472,6.003947734832764,672952.9589881897
1,2010-01-29,BUY,NFLX,15630,9.005714416503906,532193.6426582336
2,2010-01-29,BUY,NVDA,1442631,0.3688974976539612,10.676720201969147
3,2010-02-26,SELL,AAPL,43121,6.085590839385986,262427.4393053651
4,2010-02-26,SELL,NFLX,11997,9.372857093811035,374873.6058598161
5,2010-02-26,BUY,NVDA,996990,0.37600502371788025,0.35726332664489746
6,2010-03-31,SELL,AAPL,11351,7.105377674102783,80653.49924206734
7,2010-03-31,SELL,NFLX,2993,10.722857475280762,112747.01166558266
8,2010-03-31,BUY,NVDA,278935,0.4042052924633026,0.008412331342697144
9,2010-04-30,SELL,NFLX,355,14.738571166992188,5232.201176613569
10,2010-04-30,BUY,NVDA,13706,0.38173672556877136,0.1176159679889679
11,2010-05-05,SELL,NVDA,2732262,0.3381752371788025,923983.4675005972
12,2010-05-31,BUY,NFLX,361,15.878570556640625,918251.30352965
13,2010-05-31,BUY,NVDA,3047979,0.3012625277042389,9.44560021162033
14,2010-06-08,SELL,NVDA,3047979,0.2636619806289673,803645.6256557107
15,2010-06-30,BUY,AAPL,11719,7.717552661895752,713203.6260109544
16,2010-06-30,BUY,AMZN,16655,5.430500030517578,622758.6480026841
17,2010-06-30,BUY,CSCO,6312,14.329150199890137,532313.0519409776
18,2010-06-30,BUY,GOOGL,7985,11.326807975769043,441868.49025446177
19,2010-06-30,BUY,INTC,6953,13.007267951965332,351428.9561844468
20,2010-06-30,BUY,MSFT,5107,17.710529327392578,260981.28290945292
21,2010-06-30,BUY,NFLX,4977,16.082857131958008,180936.9029636979
22,2010-06-30,BUY,NVDA,376434,0.24027633666992188,90488.72044569254
23,2010-06-30,BUY,TSLA,56790,1.5926669836044312,41.16244679689407
24,2010-07-03,SELL,TSLA,56790,1.2799999713897705,72732.36082202196
25,2010-07-29,SELL,NFLX,5623,14.329999923706055,153309.9503930211
26,2010-07-30,SELL,NVDA,376434,0.20932473242282867,232106.8967178762
27,2010-07-30,SELL,AMZN,16655,5.8429999351501465,329422.0606378019
28,2010-07-30,SELL,CSCO,6312,15.382959365844727,426519.3001550138
29,2010-07-30,SELL,GOOGL,7985,12.093048095703125,523082.28919920325
30,2010-07-30,SELL,INTC,6953,13.822272300720215,619188.5485061109
31,2010-07-30,SELL,MSFT,5107,19.77713966369629,720190.4007686079
32,2010-07-30,BUY,AAPL,22374,7.776000022888184,546210.1762565076
33,2010-07-30,BUY,NFLX,1395,14.002857208251953,526676.1904509962
34,2010-07-30,BUY,NVDA,2322388,0.20932473242282867,40542.94376900792
35,2010-07-30,BUY,TSLA,29878,1.3566670417785645,8.445894747972488
36,2010-08-12,SELL,TSLA,29878,1.1933330297470093,35662.850157529116
37,2010-08-31,SELL,AAPL,10447,7.305720806121826,111985.71541908383
38,2010-08-31,SELL,NFLX,163,17.58571434020996,114852.18685653806
39,2010-08-31,SELL,NVDA,16277,0.22101759910583496,118449.69031718373
40,2010-08-31,BUY,TSLA,89418,1.324666976928711,0.6185741722583771
41,2010-09-30,SELL,AAPL,23646,8.657506942749023,204716.02774241567
42,2010-09-30,SELL,NFLX,1232,24.375713348388672,234746.9065876305
43,2010-09-30,BUY,CSCO,436,14.494840621948242,228427.15607646108
44,2010-09-30,BUY,NVDA,698046,0.27237430214881897,38297.36395868659
45,2010-09-30,BUY,TSLA,26128,1.4653329849243164,11.143728584051132
46,2010-10-29,SELL,CSCO,436,15.36970329284668,6712.3343642652035
47,2010-10-29,SELL,TSLA,24890,1.4126670360565186,41873.61689171195
48,2010-10-29,BUY,INTC,268,13.556840896606445,38240.38353142142
49,2010-10-29,BUY,NVDA,138392,0.27627187967300415,6.5655597150325775
50,2010-11-30,SELL,INTC,268,14.2369966506958,3822.080662101507
51,2010-11-30,SELL,TSLA,77110,2.2886669635772705,180301.19022354484
52,2010-11-30,BUY,CSCO,1148,12.884294509887695,165510.02012619376
53,2010-11-30,BUY,NVDA,524983,0.3152479827404022,10.188403189182281
54,2010-12-31,SELL,TSLA,13545,1.7666670083999634,23939.693031966686
55,2010-12-31,BUY,CSCO,1113,13.407892227172852,9016.708983123302
56,2010-12-31,BUY,NVDA,26222,0.34367766976356506,4.793126583099365
57,2011-01-31,SELL,NVDA,78550,0.5447486042976379,42794.79599416256
