,Date,Action,Ticker,Quantity,Price,Cash
0,2010-01-29,BUY,AAPL,54472,6.0039472579956055,672952.9849624634
1,2010-01-29,BUY,NFLX,15631,9.005714416503906,532184.6629180908
2,2010-01-29,BUY,NVDA,1442628,0.368897408246994,2.932653546333313
3,2010-02-26,SELL,AAPL,43121,6.08558988571167,262419.65411531925
4,2010-02-26,SELL,NFLX,11998,9.372857093811035,374875.19352686405
5,2010-02-26,BUY,NVDA,996995,0.3760049343109131,0.1540435552597046
6,2010-03-31,SELL,AAPL,11351,7.105379104614258,80653.3122600317
7,2010-03-31,SELL,NFLX,2993,10.722857475280762,112746.82468354702
8,2010-03-31,BUY,NVDA,278934,0.4042052924633026,0.2256355881690979
9,2010-04-30,SELL,NFLX,355,14.738571166992188,5232.418399870396
10,2010-04-30,BUY,NVDA,13706,0.3817366659641266,0.33565616607666016
11,2010-05-05,SELL,NVDA,2732263,0.3381751775741577,923983.860860467
12,2010-05-31,BUY,NFLX,361,15.878570556640625,918251.6968895197
13,2010-05-31,BUY,NVDA,3047980,0.3012625575065613,9.446860671043396
14,2010-06-08,SELL,NVDA,3047980,0.2636620104312897,803645.9814150333
15,2010-06-30,BUY,AAPL,11719,7.717552185058594,713203.9873583317
16,2010-06-30,BUY,AMZN,16655,5.430500030517578,622759.0093500614
17,2010-06-30,BUY,CSCO,6312,14.329147338867188,532313.4313471317
18,2010-06-30,BUY,GOOGL,7985,11.326807975769043,441868.8696606159
19,2010-06-30,BUY,INTC,6953,13.007266998291016,351429.3422214985
20,2010-06-30,BUY,MSFT,5107,17.710535049438477,260981.6397240162
21,2010-06-30,BUY,NFLX,4977,16.082857131958008,180937.25977826118
22,2010-06-30,BUY,NVDA,376434,0.24027635157108307,90489.0716509521
23,2010-06-30,BUY,TSLA,56790,1.5926669836044312,41.51365205645561
24,2010-07-03,SELL,TSLA,56790,1.2799999713897705,72732.71202728152
25,2010-07-29,SELL,NFLX,5623,14.329999923706055,153310.30159828067
26,2010-07-30,SELL,NVDA,376434,0.20932471752166748,232107.24231383204
27,2010-07-30,SELL,AMZN,16655,5.8429999351501465,329422.40623375773
28,2010-07-30,SELL,CSCO,6312,15.382960319519043,426519.65177056193
29,2010-07-30,SELL,GOOGL,7984,12.093048095703125,523070.5477666557
30,2010-07-30,SELL,INTC,6953,13.82227611541748,619176.8335971534
