,Date,Action,Ticker,Quantity,Price,Cash
0,2010-01-29,BUY,AAPL,54472,6.003946781158447,672953.0109367371
1,2010-01-29,BUY,NFLX,15631,9.005714416503906,532184.6888923645
2,2010-01-29,BUY,NVDA,1442630,0.36889758706092834,1.9628706574440002
3,2010-02-26,SELL,AAPL,43121,6.08558988571167,262418.68433243036
4,2010-02-26,SELL,NFLX,11998,9.372857093811035,374874.22374397516
5,2010-02-26,BUY,NVDA,996992,0.3760049045085907,0.34198814630508423
6,2010-03-31,SELL,AAPL,11351,7.105378150939941,80653.48937946558
7,2010-03-31,SELL,NFLX,2993,10.722857475280762,112747.0018029809
8,2010-03-31,BUY,NVDA,278934,0.4042053520679474,0.3861292600631714
9,2010-04-30,SELL,NFLX,355,14.738571166992188,5232.57889354229
10,2010-04-30,BUY,NVDA,13707,0.3817368745803833,0.11155366897583008
11,2010-05-05,SELL,NVDA,2732263,0.3381751477718353,923983.5553301871
12,2010-05-31,BUY,NFLX,361,15.878570556640625,918251.3913592398
13,2010-05-31,BUY,NVDA,3047980,0.3012624680995941,9.413841038942337
14,2010-06-08,SELL,NVDA,3047980,0.2636619508266449,803645.766721636
15,2010-06-30,BUY,AAPL,11719,7.717550277709961,713203.795017153
16,2010-06-30,BUY,AMZN,16655,5.430500030517578,622758.8170088828
17,2010-06-30,BUY,CSCO,6312,14.32914924621582,532313.2269667685
18,2010-06-30,BUY,GOOGL,7985,11.326807975769043,441868.6652802527
19,2010-06-30,BUY,INTC,6953,13.007265090942383,351429.1511029303
20,2010-06-30,BUY,MSFT,5107,17.71053123474121,260981.46808710694
21,2010-06-30,BUY,NFLX,4977,16.082857131958008,180937.08814135194
22,2010-06-30,BUY,NVDA,376434,0.2402762919664383,90488.9224512577
23,2010-06-30,BUY,TSLA,56790,1.5926669836044312,41.36445236206055
24,2010-07-03,SELL,TSLA,56790,1.2799999713897705,72732.56282758713
25,2010-07-29,SELL,NFLX,5623,14.329999923706055,153310.15239858627
26,2010-07-30,SELL,NVDA,376434,0.2093247026205063,232107.08750483394
27,2010-07-30,SELL,AMZN,16655,5.8429999351501465,329422.2514247596
28,2010-07-30,SELL,CSCO,6312,15.382956504821777,426519.4728831947
29,2010-07-30,SELL,GOOGL,7985,12.093048095703125,523082.46192738414
30,2010-07-30,SELL,INTC,6953,13.82227897644043,619188.7676505744
31,2010-07-30,SELL,MSFT,5107,19.777141571044922,720190.6296539009
32,2010-07-30,BUY,AAPL,22374,7.775999546051025,546210.4158105552
33,2010-07-30,BUY,NFLX,1395,14.002857208251953,526676.4300050437
34,2010-07-30,BUY,NVDA,2322372,0.2093247026205063,40546.60173085332
35,2010-07-30,BUY,TSLA,29879,1.3566670417785645,10.747189551591873
36,2010-08-12,SELL,TSLA,29879,1.1933330297470093,35666.34478536248
37,2010-08-31,SELL,AAPL,10447,7.305720329284668,111989.20506539941
38,2010-08-31,SELL,NFLX,163,17.58571434020996,114855.67650285363
39,2010-08-31,SELL,NVDA,16271,0.221017524600029,118451.8526456207
40,2010-08-31,BUY,TSLA,89420,1.324666976928711,0.13156865537166595
41,2010-09-30,SELL,AAPL,23646,8.657506942749023,204715.54073689878
42,2010-09-30,SELL,NFLX,1232,24.375713348388672,234746.41958211362
43,2010-09-30,BUY,CSCO,436,14.494836807250977,228426.6707341522
44,2010-09-30,BUY,NVDA,698055,0.27237439155578613,38294.36483667791
45,2010-09-30,BUY,TSLA,26126,1.4653329849243164,11.075272545218468
46,2010-10-29,SELL,CSCO,435,15.369711875915527,6696.899938568473
47,2010-10-29,SELL,TSLA,24889,1.4126670360565186,41856.76979897916
48,2010-10-29,BUY,INTC,268,13.556843757629395,38223.535671934485
49,2010-10-29,BUY,NVDA,138354,0.2762719392776489,0.20778511464595795
50,2010-11-17,SELL,CSCO,1,12.88430404663086,13.092089161276817
51,2010-11-30,SELL,INTC,268,14.2369966506958,3828.6071915477514
52,2010-11-30,SELL,TSLA,77111,2.2886669635772705,180310.00541995466
53,2010-11-30,BUY,CSCO,1148,12.88430404663086,165518.82437442243
54,2010-11-30,BUY,NVDA,525011,0.315248042345047,10.134414806962013
55,2010-12-31,SELL,TSLA,13545,1.7666670083999634,23939.639043584466
56,2010-12-31,BUY,CSCO,1113,13.4078950881958,9016.65181042254
57,2010-12-31,BUY,NVDA,26222,0.3436776101589203,4.737516835331917
58,2011-01-31,SELL,NVDA,78550,0.5447487831115723,42794.75443024933
59,2011-01-31,SELL,TSLA,1,1.6006669998168945,42796.35509724915
60,2011-01-31,BUY,CSCO,3085,13.871833801269531,1.74782033264637
61,2011-02-12,SELL,CSCO,5346,12.393855094909668,66259.29715771973
62,2011-02-28,SELL,NVDA,555393,0.5300753712654114,360659.44783093035
63,2011-02-28,BUY,CSCO,10502,12.354087829589844,230916.8174445778
64,2011-02-28,BUY,TSLA,146704,1.5740000009536743,4.721304669976234
65,2011-03-31,SELL,CSCO,2817,11.526083946228027,32473.69978119433
66,2011-03-31,SELL,TSLA,41522,1.5806670188903809,98106.15573956072
67,2011-03-31,BUY,NVDA,231926,0.423005610704422,0.15647132694721222
68,2011-04-20,SELL,CSCO,7685,11.04721736907959,84898.0219527036
69,2011-04-29,SELL,TSLA,14937,1.843999981880188,112441.84968204796
70,2011-04-29,BUY,CSCO,7354,11.49947738647461,27874.692981913686
71,2011-04-29,BUY,NVDA,62316,0.44730833172798157,0.22698195278644562
72,2011-05-31,SELL,CSCO,58,10.947450637817383,635.1791189461946
73,2011-05-31,SELL,TSLA,18308,1.9700000286102295,36701.939642742276
74,2011-05-31,BUY,NVDA,82092,0.447079062461853,0.325247123837471
75,2011-06-08,SELL,CSCO,7296,10.31561279296875,75263.03618462384
76,2011-06-10,SELL,NVDA,3436134,0.39824414253234863,1443683.274640873
77,2011-06-30,BUY,CSCO,5991,10.202547073364258,1382559.8151243478
78,2011-06-30,BUY,NVDA,3716456,0.3608730733394623,41390.91647346318
79,2011-06-30,BUY,TSLA,21943,1.8860000371932983,6.41765733063221
80,2011-07-15,SELL,NVDA,3716456,0.3228139579296112,1199730.2884885818
81,2011-07-29,SELL,CSCO,1937,10.6885986328125,1220434.1040403396
82,2011-07-29,SELL,TSLA,4560,1.878000020980835,1228997.7841360122
83,2011-07-29,BUY,NVDA,3875960,0.31708213686943054,0.1049155741930008
84,2011-08-05,SELL,TSLA,89320,1.649999976158142,147378.10278601944
85,2011-08-09,SELL,NVDA,3875960,0.27352064847946167,1207533.1954664737
86,2011-08-11,SELL,CSCO,4054,9.166420936584473,1244693.8659433872
87,2011-08-31,BUY,CSCO,1731,10.434904098510742,1226631.046948865
88,2011-08-31,BUY,NVDA,3379132,0.31364309787750244,166789.61833186448
89,2011-08-31,BUY,TSLA,101571,1.6419999599456787,10.040400221943855
90,2011-09-30,SELL,CSCO,499,10.581775665283203,5290.346457198262
91,2011-09-30,SELL,NVDA,139003,0.30011609196662903,47007.3835888356
92,2011-09-30,BUY,AAPL,543,11.766581535339355,40618.12981514633
93,2011-09-30,BUY,AMZN,1447,11.121999740600586,24524.59619049728
94,2011-09-30,BUY,TSLA,15245,1.6080000400543213,10.635579869151115
95,2011-10-04,SELL,NVDA,3240129,0.27076947689056396,877338.6699678153
96,2011-10-27,SELL,AMZN,1447,9.920000076293945,891692.9100782126
97,2011-10-31,SELL,CSCO,1232,12.440162658691406,907019.1904737204
98,2011-10-31,BUY,AAPL,2578,12.19980239868164,875568.0998899192
99,2011-10-31,BUY,NVDA,2351762,0.3576633036136627,34429.1336568445
100,2011-10-31,BUY,TSLA,17285,1.9913330078125,8.942616805434227
101,2011-11-03,SELL,NVDA,2351762,0.31685301661491394,745171.8266771287
102,2011-11-26,SELL,AAPL,3121,10.953160285949707,779356.6399295777
103,2011-11-30,SELL,TSLA,39084,2.1166670322418213,862084.454217717
104,2011-11-30,BUY,AAPL,3240,11.243277549743652,825656.2349565476
105,2011-11-30,BUY,AMZN,657,9.419500350952148,819467.623225972
106,2011-11-30,BUY,NFLX,142,9.652856826782227,818096.917556569
107,2011-11-30,BUY,NVDA,2393128,0.34184351563453674,21.628673121333122
108,2011-12-20,SELL,NVDA,2393128,0.3017210066318512,722078.6178319901
109,2011-12-30,SELL,AMZN,650,8.692999839782715,727729.0677278489
110,2011-12-30,SELL,TSLA,11630,1.9153330326080322,750004.3908970803
111,2011-12-30,BUY,AAPL,1007,12.204923629760742,737714.0328019112
112,2011-12-30,BUY,NFLX,62,9.899999618530273,737100.2328255624
113,2011-12-30,BUY,NVDA,2301316,0.3202919065952301,7.343507453799248
