,Date,Action,Ticker,Quantity,Price,Cash
0,2010-01-29,BUY,AAPL,54472,6.003945350646973,672953.0888595581
1,2010-01-29,BUY,NFLX,15631,9.005714416503906,532184.7668151855
2,2010-01-29,BUY,NVDA,1442631,0.3688974976539612,1.8008771538734436
3,2010-02-26,SELL,AAPL,43121,6.085590362548828,262418.5429006219
4,2010-02-26,SELL,NFLX,11998,9.372857093811035,374874.0823121667
5,2010-02-26,BUY,NVDA,996992,0.3760048747062683,0.23026901483535767
6,2010-03-31,SELL,AAPL,11351,7.105380535125732,80653.40472322702
7,2010-03-31,SELL,NFLX,2993,10.722857475280762,112746.91714674234
8,2010-03-31,BUY,NVDA,278934,0.4042053520679474,0.3014730215072632
9,2010-04-30,SELL,NFLX,355,14.738571166992188,5232.494237303734
10,2010-04-30,BUY,NVDA,13707,0.38173654675483704,0.03139093518257141
11,2010-05-05,SELL,NVDA,2732264,0.3381751477718353,923983.8133426011
12,2010-05-31,BUY,NFLX,361,15.878570556640625,918251.6493716538
13,2010-05-31,BUY,NVDA,3047981,0.3012624680995941,9.37059098482132
14,2010-06-08,SELL,NVDA,3047981,0.2636618912220001,803645.805459708
15,2010-06-30,BUY,AAPL,11719,7.717552185058594,713203.8114030063
16,2010-06-30,BUY,AMZN,16655,5.430500030517578,622758.833394736
17,2010-06-30,BUY,CSCO,6312,14.329150199890137,532313.2373330295
18,2010-06-30,BUY,GOOGL,7985,11.326807975769043,441868.6756465137
19,2010-06-30,BUY,INTC,6953,13.0072660446167,351429.1548382938
20,2010-06-30,BUY,MSFT,5107,17.710527420043945,260981.49130412936
21,2010-06-30,BUY,NFLX,4977,16.082857131958008,180937.11135837436
22,2010-06-30,BUY,NVDA,376434,0.24027642607688904,90488.89518454671
23,2010-06-30,BUY,TSLA,56790,1.5926669836044312,41.33718565106392
24,2010-07-03,SELL,TSLA,56790,1.2799999713897705,72732.53556087613
25,2010-07-29,SELL,NFLX,5623,14.329999923706055,153310.12513187528
