,Date,Action,Ticker,Quantity,Price,Cash
0,2020-01-03,BUY,AAPL,1373,72.7960205078125,900051.0638427734
1,2020-01-03,BUY,AMZN,1053,94.90049743652344,800120.8400421143
2,2020-01-03,BUY,CSCO,2412,41.45570373535156,700129.6826324463
3,2020-01-03,BUY,GOOGL,1466,68.18681335449219,600167.8142547607
4,2020-01-03,BUY,INTC,1863,53.666465759277344,500187.18854522705
5,2020-01-03,BUY,META,478,208.981689453125,400293.9409866333
6,2020-01-03,BUY,MSFT,650,153.63067626953125,300434.001411438
7,2020-01-03,BUY,NFLX,303,329.80999755859375,200501.57215118408
8,2020-01-03,BUY,NVDA,16742,5.972710132598877,100506.45911121368
9,2020-01-03,BUY,TSLA,3486,28.68400001525879,514.0350580215454
10,2020-01-04,SELL,GOOGL,2,67.83011627197266,649.6952905654907
11,2020-01-04,SELL,TSLA,124,29.534000396728516,4311.911339759827
12,2020-01-04,BUY,AAPL,4,72.08831024169922,4023.55809879303
13,2020-01-04,BUY,AMZN,6,93.74849700927734,3461.0671167373657
14,2020-01-04,BUY,CSCO,22,40.77933120727539,2563.921830177307
15,2020-01-04,BUY,INTC,9,53.01371765136719,2086.7983713150024
16,2020-01-04,BUY,MSFT,4,151.71771240234375,1479.9275217056274
17,2020-01-04,BUY,NFLX,1,325.8999938964844,1154.027527809143
18,2020-01-04,BUY,NVDA,151,5.877111911773682,266.58362913131714
19,2020-01-07,SELL,AAPL,1377,72.66271209716797,100323.13818693161
20,2020-01-07,SELL,AMZN,1058,95.14399719238281,200985.48721647263
21,2020-01-07,SELL,CSCO,2434,40.92487716674805,300596.6382403374
22,2020-01-07,SELL,GOOGL,1464,69.63805389404297,402546.7491412163
23,2020-01-07,SELL,INTC,1872,52.86376953125,501507.7257037163
24,2020-01-07,SELL,META,478,211.79098510742188,602743.8165850639
25,2020-01-07,SELL,MSFT,654,152.10986328125,702223.6671710014
26,2020-01-07,SELL,NFLX,304,335.8299865722656,804315.9830889702
27,2020-01-07,SELL,NVDA,16893,5.90175724029541,904014.3681492805
28,2020-01-07,BUY,TSLA,30031,30.1026668548584,1.1798310279846191
29,2020-01-08,BUY,TSLA,0,31.270666122436523,1.1798310279846191
30,2020-01-09,SELL,AMZN,1,94.59850311279297,95.77833414077759
31,2020-01-09,BUY,TSLA,2,32.80933380126953,30.159666538238525
32,2020-01-25,SELL,TSLA,17846,37.654666900634766,672015.3451752663
33,2020-01-25,BUY,NFLX,1902,353.1600036621094,305.0182099342346
34,2020-01-28,SELL,TSLA,1171,37.201332092285156,43867.77809000015
35,2020-01-28,BUY,NFLX,127,342.8800048828125,322.0174698829651
36,2020-01-29,SELL,TSLA,674,37.793331146240234,25794.722662448883
37,2020-01-29,BUY,NFLX,74,348.5199890136719,4.243475437164307
38,2020-01-30,SELL,NFLX,162,343.1600036621094,55596.16406869888
39,2020-01-30,BUY,TSLA,1435,38.732666015625,14.788336277008057
40,2020-01-31,SELL,NFLX,1940,347.739990234375,674630.3693909645
41,2020-01-31,BUY,TSLA,15791,42.72066879272461,28.288485050201416
42,2020-02-01,SELL,NFLX,1,345.0899963378906,373.37848138809204
43,2020-02-01,BUY,TSLA,8,43.371334075927734,26.407808780670166
44,2020-02-25,SELL,TSLA,13918,55.58599853515625,773672.3354210854
45,2020-02-25,BUY,NFLX,2098,368.70001220703125,139.70981073379517
46,2020-02-26,SELL,TSLA,563,53.32733154296875,30162.9974694252
47,2020-02-26,BUY,NFLX,83,360.0899963378906,275.52777338027954
48,2020-02-27,SELL,TSLA,594,51.91999816894531,31116.006685733795
49,2020-02-27,BUY,NFLX,82,379.239990234375,18.327486515045166
50,2020-02-28,SELL,TSLA,1302,45.266666412353516,58955.52715539932
51,2020-02-28,BUY,NFLX,158,371.7099914550781,225.34850549697876
52,2020-02-29,SELL,TSLA,196,44.53266525268555,8953.750895023346
53,2020-02-29,BUY,NFLX,24,369.0299987792969,97.03092432022095
54,2020-03-03,SELL,NFLX,108,381.04998779296875,41250.429605960846
55,2020-03-03,BUY,TSLA,832,49.574668884277344,4.305094242095947
56,2020-03-04,SELL,TSLA,339,49.70066833496094,16852.831659793854
57,2020-03-04,BUY,NFLX,45,368.7699890136719,258.1821541786194
58,2020-03-05,SELL,TSLA,219,49.96666717529297,11200.88226556778
59,2020-03-05,BUY,NFLX,29,383.7900085449219,70.97201776504517
60,2020-03-06,SELL,TSLA,486,48.30266571044922,23546.067553043365
61,2020-03-06,BUY,NFLX,63,372.7799987792969,60.92762994766235
62,2020-03-07,SELL,TSLA,392,46.89866638183594,18445.20485162735
63,2020-03-07,BUY,NFLX,49,368.9700012207031,365.67479181289673
64,2020-03-08,BUY,NFLX,0,368.9700012207031,365.67479181289673
65,2020-03-09,BUY,NFLX,0,368.9700012207031,365.67479181289673
66,2020-03-10,SELL,TSLA,13761,40.53333282470703,558144.8677926064
67,2020-03-10,BUY,NFLX,170,346.489990234375,499241.5694527626
68,2020-03-10,BUY,TSLA,12315,40.53333282470703,73.57571649551392
69,2020-03-11,SELL,NFLX,54,364.1300048828125,19736.59598016739
70,2020-03-11,BUY,TSLA,458,43.02199935913086,32.52027368545532
71,2020-03-12,SELL,TSLA,444,42.28200149536133,18805.728937625885
72,2020-03-12,BUY,NFLX,53,349.9200134277344,259.96822595596313
73,2020-03-13,SELL,TSLA,12329,37.369998931884766,460994.68505716324
74,2020-03-13,SELL,NFLX,445,315.25,601280.9350571632
75,2020-03-13,BUY,MSFT,2089,133.37216186523438,322666.48892068863
76,2020-03-13,BUY,TSLA,8634,37.369998931884766,13.918142795562744
77,2020-03-14,SELL,MSFT,114,152.33355712890625,17379.943655490875
78,2020-03-14,SELL,TSLA,629,36.44133377075195,40301.542597293854
79,2020-03-14,BUY,NFLX,119,336.29998779296875,281.8440499305725
80,2020-03-17,SELL,NFLX,2366,298.8399963378906,707337.2753853798
81,2020-03-17,SELL,TSLA,8005,29.67133331298828,944856.298555851
82,2020-03-17,SELL,MSFT,525,129.88104248046875,1013043.8458580971
83,2020-03-17,BUY,NFLX,3031,298.8399963378906,107259.81695795059
84,2020-03-17,BUY,TSLA,3605,29.67133331298828,294.66036462783813
85,2020-03-18,SELL,MSFT,381,140.5749969482422,53853.73420190811
86,2020-03-18,SELL,TSLA,3604,28.68000030517578,157216.45530176163
87,2020-03-18,BUY,NFLX,491,319.75,219.2053017616272
88,2020-03-19,SELL,TSLA,1,24.08133316040039,243.2866349220276
89,2020-03-19,SELL,MSFT,1068,134.65733337402344,144057.31867837906
90,2020-03-19,BUY,NFLX,456,315.4700012207031,202.99812173843384
91,2020-03-20,BUY,NFLX,0,332.0299987792969,202.99812173843384
92,2020-03-21,SELL,NFLX,2431,332.8299865722656,809312.6954789162
93,2020-03-21,BUY,META,2745,149.16021728515625,399867.89903116226
94,2020-03-21,BUY,MSFT,1896,131.73214721679688,150103.7479081154
95,2020-03-21,BUY,TSLA,5263,28.50200080871582,97.71765184402466
96,2020-03-24,SELL,NFLX,150,360.2699890136719,54138.216003894806
97,2020-03-24,BUY,META,258,147.5364227294922,16073.818939685822
98,2020-03-24,BUY,MSFT,99,130.41812133789062,3162.4249272346497
99,2020-03-24,BUY,TSLA,109,28.952667236328125,6.584198474884033
100,2020-03-25,SELL,NFLX,77,357.32000732421875,27520.224762439728
101,2020-03-25,BUY,META,2,160.36740112304688,27199.489960193634
102,2020-03-25,BUY,MSFT,26,142.27255249023438,23500.40359544754
103,2020-03-25,BUY,TSLA,696,33.66666793823242,68.40271043777466
104,2020-03-26,SELL,MSFT,15,140.9106903076172,2182.0630650520325
105,2020-03-26,SELL,NFLX,38,342.3900146484375,15192.883621692657
106,2020-03-26,SELL,TSLA,28,35.95000076293945,16199.483643054962
107,2020-03-26,BUY,META,104,155.61557006835938,15.464355945587158
108,2020-03-27,SELL,NFLX,28,362.989990234375,10179.184082508087
109,2020-03-27,SELL,TSLA,122,35.21066665649414,14474.885414600372
110,2020-03-27,BUY,META,87,162.71841430664062,318.38336992263794
111,2020-03-27,BUY,MSFT,2,149.72482299804688,18.93372392654419
112,2020-03-28,SELL,NFLX,52,357.1199951171875,18589.173470020294
113,2020-03-28,SELL,TSLA,166,34.29066848754883,24281.4244389534
114,2020-03-28,BUY,META,151,156.19334411621094,696.2294774055481
115,2020-03-28,BUY,MSFT,4,143.57699584960938,121.9214940071106
116,2020-03-29,BUY,MSFT,0,143.57699584960938,121.9214940071106
117,2020-03-30,BUY,MSFT,0,143.57699584960938,121.9214940071106
118,2020-03-31,SELL,NFLX,21,370.9599914550781,7912.081314563751
119,2020-03-31,SELL,TSLA,111,33.47533416748047,11627.843407154083
120,2020-03-31,BUY,META,55,165.31849670410156,2535.3260884284973
121,2020-03-31,BUY,MSFT,16,153.67620849609375,76.50675249099731
122,2020-04-01,SELL,MSFT,10,151.25933837890625,1589.1001362800598
123,2020-04-01,SELL,NFLX,33,375.5,13980.60013628006
124,2020-04-01,BUY,META,67,166.16525268554688,2847.528206348419
