,Date,Action,Ticker,Quantity,Price,Cash
0,2021-01-29,BUY,CSCO,8412,40.1829948425293,661980.6473846436
1,2021-01-29,BUY,NVDA,50849,13.017958641052246,30.468445777893066
2,2021-02-26,SELL,CSCO,7026,40.342525482177734,283477.05248355865
3,2021-02-26,BUY,NVDA,20771,13.27381420135498,7766.6577072143555
4,2021-02-26,BUY,TSLA,34,227.4066619873047,34.831199645996094
5,2021-03-06,SELL,TSLA,34,199.31666564941406,6811.597831726074
6,2021-03-09,SELL,NVDA,71620,11.563902854919434,835018.3203010559
7,2021-03-31,BUY,CSCO,2157,45.88164138793945,736051.6198272705
8,2021-03-31,BUY,NVDA,57306,12.843595504760742,36.535831451416016
9,2021-04-30,SELL,CSCO,3542,45.93386459350586,162734.28422164917
10,2021-04-30,BUY,INTC,33,53.00638961791992,160985.0733642578
11,2021-04-30,BUY,NVDA,10527,15.291230201721191,14.293030738830566
12,2021-05-13,SELL,NVDA,67833,13.728404998779297,931253.1893129349
13,2021-05-31,SELL,CSCO,1,47.2192268371582,931300.408539772
14,2021-05-31,BUY,INTC,824,52.271331787109375,888228.8311471939
15,2021-05-31,BUY,NVDA,54608,16.20897102355957,3089.341492652893
16,2021-05-31,BUY,TSLA,14,208.4066619873047,171.64822483062744
17,2021-06-30,SELL,NVDA,15249,19.987529754638672,304961.48945331573
18,2021-06-30,BUY,CSCO,1666,47.228145599365234,226279.39888477325
19,2021-06-30,BUY,INTC,3918,51.932743072509766,22806.911526679993
20,2021-06-30,BUY,TSLA,100,226.9199981689453,114.91170978546143
21,2021-07-30,SELL,NVDA,10583,19.623491287231445,207790.32000255585
22,2021-07-30,BUY,CSCO,1762,49.49890899658203,120573.24235057831
23,2021-07-30,BUY,INTC,2283,49.14164352416992,8382.870184898376
24,2021-07-30,BUY,TSLA,36,225.78334045410156,254.66992855072021
25,2021-08-31,SELL,CSCO,3428,53.148193359375,182446.67676448822
26,2021-08-31,SELL,TSLA,49,243.6366729736328,194384.87374019623
27,2021-08-31,BUY,INTC,3033,49.68204116821289,43699.24287700653
28,2021-08-31,BUY,NVDA,1929,22.643564224243164,19.807488441467285
29,2021-09-30,SELL,NVDA,1937,20.48042869567871,39690.39787197113
30,2021-09-30,SELL,TSLA,39,260.4366760253906,49847.428236961365
31,2021-09-30,BUY,INTC,1011,49.26755905151367,37.92603588104248
32,2021-10-05,SELL,NVDA,28768,19.696828842163086,566676.2981672287
33,2021-10-28,SELL,INTC,11102,44.10961151123047,1056381.2051649094
34,2021-10-29,SELL,TSLA,41,359.0133361816406,1071100.7519483566
35,2021-10-29,BUY,INTC,12142,44.28462219238281,533396.8692884445
36,2021-10-29,BUY,NVDA,21424,24.89653968811035,13.403010368347168
37,2021-11-30,SELL,NVDA,9173,33.31650924682617,305625.7423315048
38,2021-11-30,SELL,TSLA,20,378.9966735839844,313205.6758031845
39,2021-11-30,BUY,CSCO,3396,50.457698822021484,141851.33060359955
40,2021-11-30,BUY,INTC,3058,46.37331771850586,41.72502040863037
41,2021-12-31,SELL,CSCO,65,57.57026672363281,3783.792357444763
42,2021-12-31,SELL,NVDA,444,29.536876678466797,16898.16560268402
43,2021-12-31,SELL,TSLA,1,356.7799987792969,17254.945601463318
44,2021-12-31,BUY,AMZN,21,168.64450073242188,13713.411086082458
45,2021-12-31,BUY,INTC,284,47.98711013793945,85.07180690765381
46,2022-01-21,SELL,AMZN,21,151.66749572753906,3270.089217185974
47,2022-01-26,SELL,NVDA,11807,22.286930084228516,266411.87272167206
48,2022-01-31,SELL,INTC,1791,44.267967224121094,345695.80202007294
49,2022-01-31,BUY,AMZN,110,143.97799682617188,329858.22236919403
50,2022-01-31,BUY,CSCO,2192,50.61847686767578,218902.52107524872
51,2022-01-31,BUY,NVDA,9599,22.802078247070312,25.371981620788574
52,2022-02-19,SELL,INTC,13693,42.09130096435547,576381.5560865402
53,2022-02-28,SELL,AMZN,109,153.7884979248047,593144.5023603439
54,2022-02-28,SELL,NVDA,1648,24.116891860961914,632889.1401472092
55,2022-02-28,BUY,CSCO,1961,51.009883880615234,532858.7578573227
56,2022-02-28,BUY,INTC,11951,44.58649444580078,5.562735557556152
