,Date,Action,Ticker,Quantity,Price,Cash
0,2010-01-29,BUY,AAPL,54472,6.003945827484131,672953.0628852844
1,2010-01-29,BUY,NFLX,15630,9.005714416503906,532193.7465553284
2,2010-01-29,BUY,NVDA,1442632,0.36889758706092834,10.282738447189331
3,2010-02-26,SELL,AAPL,43121,6.085589408874512,262426.983638525
4,2010-02-26,SELL,NFLX,11997,9.372857093811035,374873.150192976
5,2010-02-26,BUY,NVDA,996990,0.3760049045085907,0.020446956157684326
6,2010-03-31,SELL,AAPL,11351,7.105379581451416,80653.18407601118
7,2010-03-31,SELL,NFLX,2993,10.722857475280762,112746.6964995265
8,2010-03-31,BUY,NVDA,278934,0.4042053520679474,0.0808258056640625
9,2010-04-30,SELL,NFLX,355,14.738571166992188,5232.273590087891
10,2010-04-30,BUY,NVDA,13706,0.38173678517341614,0.18921250104904175
11,2010-05-05,SELL,NVDA,2732262,0.3381751775741577,923983.3762416244
12,2010-05-31,BUY,NFLX,361,15.878570556640625,918251.2122706771
13,2010-05-31,BUY,NVDA,3047979,0.3012624680995941,9.536014944314957
14,2010-06-08,SELL,NVDA,3047979,0.2636620104312897,803645.8069072962
15,2010-06-30,BUY,AAPL,11719,7.717553615570068,713203.7960864305
16,2010-06-30,BUY,AMZN,16655,5.430500030517578,622758.8180781603
17,2010-06-30,BUY,CSCO,6312,14.329150199890137,532313.2220164537
18,2010-06-30,BUY,GOOGL,7985,11.326807975769043,441868.66032993793
19,2010-06-30,BUY,INTC,6953,13.007271766662598,351429.0997363329
20,2010-06-30,BUY,MSFT,5107,17.71053123474121,260981.41672050953
21,2010-06-30,BUY,NFLX,4977,16.082857131958008,180937.03677475452
22,2010-06-30,BUY,NVDA,376434,0.2402762919664383,90488.87108466029
23,2010-06-30,BUY,TSLA,56790,1.5926669836044312,41.31308576464653
24,2010-07-03,SELL,TSLA,56790,1.2799999713897705,72732.51146098971
25,2010-07-29,SELL,NFLX,5623,14.329999923706055,153310.10103198886
26,2010-07-30,SELL,NVDA,376434,0.2093246728181839,232107.0249196291
27,2010-07-30,SELL,AMZN,16655,5.8429999351501465,329422.1888395548
28,2010-07-30,SELL,CSCO,6312,15.382953643798828,426519.392239213
29,2010-07-30,SELL,GOOGL,7985,12.093048095703125,523082.38128340244
30,2010-07-30,SELL,INTC,6953,13.822273254394531,619188.6472212076
31,2010-07-30,SELL,MSFT,5107,19.77713966369629,720190.4994837046
32,2010-07-30,BUY,AAPL,22374,7.775998115539551,546210.3176466227
33,2010-07-30,BUY,NFLX,1395,14.002857208251953,526676.3318411112
34,2010-07-30,BUY,NVDA,2322392,0.2093246728181839,40542.38628554344
35,2010-07-30,BUY,TSLA,29878,1.3566670417785645,7.888411283493042
36,2010-08-12,SELL,TSLA,29878,1.1933330297470093,35662.292674064636
37,2010-08-31,SELL,AAPL,10447,7.30571985244751,111985.14797258377
38,2010-08-31,SELL,NFLX,163,17.58571434020996,114851.619410038
39,2010-08-31,SELL,NVDA,16280,0.2210175096988678,118449.78446793556
40,2010-08-31,BUY,TSLA,89418,1.324666976928711,0.7127249240875244
