,Date,Action,Ticker,Quantity,Price,Cash
0,2022-01-31,BUY,INTC,17527,44.26797103881836,224115.27160263062
1,2022-01-31,BUY,NVDA,9828,22.802078247070312,16.446590423583984
2,2022-02-28,SELL,INTC,17129,44.586490631103516,763738.4446105957
3,2022-02-28,BUY,CSCO,280,51.0098876953125,749455.6760559082
4,2022-02-28,BUY,NVDA,31075,24.11688804626465,23.38001823425293
5,2022-03-08,SELL,NVDA,40903,21.320180892944336,872082.7390823364
6,2022-03-31,SELL,INTC,398,48.06295394897461,891211.7947540283
7,2022-03-31,BUY,CSCO,7667,51.01898956298828,500049.20177459717
8,2022-03-31,BUY,NVDA,18085,27.64873504638672,21.828460693359375
9,2022-04-07,SELL,NVDA,18085,24.37062644958496,440764.6078014374
10,2022-04-28,SELL,CSCO,7947,45.19133758544922,799900.1675930023
11,2022-04-29,BUY,CSCO,6295,46.40108871459961,507805.3141345978
12,2022-04-29,BUY,INTC,4562,43.7734489440918,308110.840051651
13,2022-04-29,BUY,NVDA,15596,19.752519607543945,50.54425239562988
14,2022-05-10,SELL,NVDA,15596,16.92474365234375,264008.84625434875
15,2022-05-20,SELL,CSCO,6295,38.23529815673828,504700.04815101624
16,2022-05-21,SELL,INTC,4562,39.230918884277344,683671.5001010895
17,2022-05-31,BUY,INTC,14914,41.96247482299805,57843.15059089661
18,2022-05-31,BUY,NVDA,3078,18.782968521118164,29.17348289489746
19,2022-06-10,SELL,INTC,14914,37.68616485595703,562080.6361446381
20,2022-06-14,SELL,NVDA,3078,15.626985549926758,610180.4976673126
21,2022-06-30,BUY,INTC,7358,35.124149322509766,351737.00695228577
22,2022-06-30,BUY,NVDA,22660,15.522119522094727,5.778581619262695
23,2022-07-29,SELL,INTC,5466,37.40359115600586,204453.8078403473
24,2022-07-29,BUY,NVDA,11383,17.96099281311035,3.826648712158203
25,2022-08-30,SELL,INTC,1892,31.34002685546875,59299.15745925903
26,2022-08-30,SELL,NVDA,34043,15.780787467956543,596524.5052309036
27,2022-08-31,BUY,NVDA,38614,15.448214530944824,7.1493330001831055
28,2022-09-03,SELL,NVDA,38614,13.62954330444336,526298.3344907761
29,2022-09-30,BUY,NVDA,43110,12.20799446105957,11.69327449798584
30,2022-11-30,SELL,NVDA,3715,15.623635292053223,58053.49838447571
31,2022-11-30,BUY,CSCO,1288,45.0603141784668,15.813722610473633
32,2022-12-30,SELL,NVDA,5652,14.592385292053223,82491.97539329529
33,2022-12-30,BUY,CSCO,1860,44.332332611083984,33.83673667907715
34,2023-01-31,SELL,NVDA,15460,19.148073196411133,296063.0483531952
35,2023-01-31,BUY,CSCO,6526,45.3639030456543,18.217077255249023
36,2023-02-28,SELL,NVDA,5015,23.483915328979492,117790.0524520874
37,2023-02-28,BUY,CSCO,2569,45.84368896484375,17.615501403808594
38,2023-03-31,SELL,NVDA,11549,27.36774253845215,316087.6740779877
39,2023-03-31,BUY,CSCO,3277,48.383766174316406,157534.0723247528
40,2023-03-31,BUY,INTC,5029,31.32071876525879,22.177654266357422
41,2023-04-26,SELL,INTC,5029,28.187671661376953,141777.97843933105
42,2023-04-28,SELL,CSCO,563,44.13124465942383,166623.86918258667
43,2023-04-28,SELL,NVDA,1718,27.210830688476562,213372.0763053894
44,2023-04-28,BUY,AMZN,500,109.81999969482422,158462.0764579773
45,2023-04-28,BUY,INTC,5437,29.144180297851562,5.168178558349609
46,2023-05-05,SELL,CSCO,14957,43.31610107421875,647884.0919456482
47,2023-05-31,SELL,AMZN,496,121.66000366210938,708227.4537620544
48,2023-05-31,BUY,CSCO,12158,47.55293273925781,130078.89751815796
49,2023-05-31,BUY,INTC,4056,29.390928268432617,10869.292461395264
50,2023-05-31,BUY,TSLA,54,201.16000366210938,6.652263641357422
51,2023-06-30,SELL,AMZN,4,127.9000015258789,518.252269744873
52,2023-06-30,SELL,CSCO,1631,48.53868103027344,79684.84103012085
53,2023-06-30,SELL,NVDA,1,40.8034782409668,79725.64450836182
54,2023-06-30,SELL,TSLA,44,257.5,91055.64450836182
55,2023-06-30,BUY,INTC,2823,32.25259780883789,6.560894012451172
56,2023-07-31,SELL,CSCO,3540,49.74717330932617,176111.5544090271
57,2023-07-31,SELL,TSLA,10,266.44000244140625,178775.95443344116
58,2023-07-31,BUY,INTC,4953,36.09429168701172,0.9277076721191406
59,2023-08-18,SELL,INTC,17269,32.044063568115234,553369.8614654541
60,2023-08-31,SELL,CSCO,6193,54.2548828125,889370.3507232666
61,2023-08-31,BUY,INTC,26187,33.96198272705078,7.909049987792969
62,2023-09-29,SELL,INTC,4159,34.601287841796875,143914.665184021
63,2023-09-29,BUY,CSCO,2796,51.456668853759766,41.819068908691406
64,2023-10-31,SELL,INTC,14310,35.102901458740234,502364.33894348145
65,2023-10-31,BUY,CSCO,10127,49.606258392333984,1.7602043151855469
66,2023-11-30,SELL,INTC,6384,44.34607696533203,283107.1155509949
67,2023-11-30,BUY,CSCO,6125,46.220298767089844,7.785602569580078
68,2023-12-29,SELL,CSCO,438,48.55776596069336,21276.08709335327
69,2023-12-29,BUY,INTC,427,49.724056243896484,43.915077209472656
