,Date,Action,Ticker,Quantity,Price,Cash
0,2010-01-29,BUY,AAPL,54472,6.003945827484131,672953.0628852844
1,2010-01-29,BUY,NFLX,15630,9.005714416503906,532193.7465553284
2,2010-01-29,BUY,NVDA,1442624,0.36889752745628357,13.319906234741211
3,2010-02-26,SELL,AAPL,43121,6.085590839385986,262430.08249139786
4,2010-02-26,SELL,NFLX,11997,9.372857093811035,374876.24904584885
5,2010-02-26,BUY,NVDA,996998,0.3760049045085907,0.11126059293746948
6,2010-03-31,SELL,AAPL,11350,7.105376720428467,80646.13703745604
7,2010-03-31,SELL,NFLX,2993,10.722857475280762,112739.64946097136
8,2010-03-31,BUY,NVDA,278916,0.4042051136493683,0.3759823441505432
9,2010-04-30,SELL,AAPL,1,8.093232154846191,8.469214498996735
10,2010-04-30,SELL,NFLX,355,14.738571166992188,5240.661978781223
11,2010-04-30,BUY,NVDA,13728,0.38173675537109375,0.17980104684829712
12,2010-05-05,SELL,NVDA,2732266,0.3381752669811249,923984.963814497
13,2010-05-31,BUY,NFLX,361,15.878570556640625,918252.7998435497
14,2010-05-31,BUY,NVDA,3047984,0.3012624680995941,9.617275476455688
15,2010-06-08,SELL,NVDA,3047984,0.2636619508266449,803647.0248038769
16,2010-06-30,BUY,AAPL,11719,7.717555522918701,713204.9916307926
17,2010-06-30,BUY,AMZN,16655,5.430500030517578,622760.0136225224
18,2010-06-30,BUY,CSCO,6312,14.329154014587402,532314.3934824467
19,2010-06-30,BUY,GOOGL,7985,11.326807975769043,441869.83179593086
20,2010-06-30,BUY,INTC,6953,13.007272720336914,351430.2645714283
21,2010-06-30,BUY,MSFT,5107,17.710533142089844,260982.57181477547
22,2010-06-30,BUY,NFLX,4977,16.082857131958008,180938.19186902046
23,2010-06-30,BUY,NVDA,376435,0.24027635157108307,90489.7634653598
24,2010-06-30,BUY,TSLA,56790,1.5926669836044312,42.20546646416187
25,2010-07-03,SELL,TSLA,56790,1.2799999713897705,72733.40384168923
26,2010-07-29,SELL,NFLX,5623,14.329999923706055,153310.99341268837
27,2010-07-30,SELL,NVDA,376435,0.20932473242282867,232108.1490622759
28,2010-07-30,SELL,AMZN,16654,5.8429999351501465,329417.4699822664
29,2010-07-30,SELL,CSCO,6312,15.382960319519043,426514.7155190706
30,2010-07-30,SELL,GOOGL,7985,12.093048095703125,523077.7045632601
31,2010-07-30,SELL,INTC,6953,13.822278022766113,619184.0036555529
32,2010-07-30,SELL,MSFT,5107,19.777143478393555,720185.8753997087
33,2010-07-30,BUY,AAPL,22374,7.775997161865234,546205.714900136
34,2010-07-30,BUY,NFLX,1395,14.002857208251953,526671.7290946245
35,2010-07-30,BUY,NVDA,2322383,0.20932473242282867,40539.529036298394
36,2010-07-30,BUY,TSLA,29878,1.3566670417785645,5.031162038445473
37,2010-08-12,SELL,TSLA,29878,1.1933330297470093,35659.43542481959
38,2010-08-31,SELL,AAPL,10447,7.305720329284668,111982.29570485651
39,2010-08-31,SELL,NFLX,163,17.58571434020996,114848.76714231074
40,2010-08-31,SELL,NVDA,16266,0.2210174798965454,118443.83747030795
