,Date,Action,Ticker,Quantity,Price,Cash
0,2010-01-29,BUY,AAPL,54472,6.003947734832764,672952.9589881897
1,2010-01-29,BUY,NFLX,15631,9.005714416503906,532184.6369438171
2,2010-01-29,BUY,NVDA,1442630,0.3688974976539612,2.0399032831192017
3,2010-02-26,SELL,AAPL,43121,6.085590362548828,262418.78192675114
4,2010-02-26,SELL,NFLX,11998,9.372857093811035,374874.32133829594
5,2010-02-26,BUY,NVDA,996992,0.37600505352020264,0.291019082069397
6,2010-03-31,SELL,AAPL,11351,7.105377674102783,80653.43299782276
7,2010-03-31,SELL,NFLX,2993,10.722857475280762,112746.94542133808
8,2010-03-31,BUY,NVDA,278934,0.4042052626609802,0.35468626022338867
9,2010-04-30,SELL,NFLX,355,14.738571166992188,5232.54745054245
10,2010-04-30,BUY,NVDA,13707,0.38173672556877136,0.08215317130088806
11,2010-05-05,SELL,NVDA,2732263,0.3381751477718353,923983.5259296894
12,2010-05-31,BUY,NFLX,361,15.878570556640625,918251.3619587421
13,2010-05-31,BUY,NVDA,3047980,0.30126243829727173,9.475277423858643
14,2010-06-08,SELL,NVDA,3047980,0.2636619806289673,803645.9189949036
15,2010-06-30,BUY,AAPL,11719,7.717554569244385,713203.8969979286
16,2010-06-30,BUY,AMZN,16655,5.430500030517578,622758.9189896584
17,2010-06-30,BUY,CSCO,6312,14.32915210723877,532313.3108887672
18,2010-06-30,BUY,GOOGL,7985,11.326807975769043,441868.74920225143
19,2010-06-30,BUY,INTC,6953,13.007267951965332,351429.2151322365
20,2010-06-30,BUY,MSFT,5107,17.71053123474121,260981.53211641312
21,2010-06-30,BUY,NFLX,4977,16.082857131958008,180937.1521706581
22,2010-06-30,BUY,NVDA,376434,0.2402762919664383,90488.98648056388
23,2010-06-30,BUY,TSLA,56790,1.5926669836044312,41.42848166823387
24,2010-07-03,SELL,TSLA,56790,1.2799999713897705,72732.6268568933
25,2010-07-29,SELL,NFLX,5623,14.329999923706055,153310.21642789245
26,2010-07-30,SELL,NVDA,376434,0.20932471752166748,232107.15714344382
27,2010-07-30,SELL,AMZN,16655,5.8429999351501465,329422.3210633695
28,2010-07-30,SELL,CSCO,6312,15.382956504821777,426519.5425218046
29,2010-07-30,SELL,GOOGL,7984,12.093048095703125,523070.4385178983
30,2010-07-30,SELL,INTC,6953,13.822275161743164,619176.7177174985
31,2010-07-30,SELL,MSFT,5107,19.777137756347656,720178.560239166
32,2010-07-30,BUY,AAPL,22374,7.775996208190918,546198.4210771024
33,2010-07-30,BUY,NFLX,1395,14.002857208251953,526664.435271591
34,2010-07-30,BUY,NVDA,2322394,0.20932471752166748,40529.96724757552
35,2010-07-30,BUY,TSLA,29874,1.3566670417785645,0.8960414826869965
36,2010-08-12,SELL,TSLA,29874,1.1933330297470093,35650.52697214484
37,2010-08-31,SELL,AAPL,10447,7.305721282958984,111973.39721521735
38,2010-08-31,SELL,NFLX,163,17.58571434020996,114839.86865267158
39,2010-08-31,SELL,NVDA,16282,0.221017524600029,118438.47598820925
40,2010-08-31,BUY,TSLA,89410,1.324666976928711,0.0015810132026672363
41,2010-09-30,SELL,AAPL,23646,8.657505989074707,204715.38819867373
42,2010-09-30,SELL,GOOGL,1,13.157756805419922,204728.54595547915
43,2010-09-30,SELL,NFLX,1232,24.375713348388672,234759.424800694
44,2010-09-30,BUY,CSCO,436,14.494842529296875,228439.67345792055
45,2010-09-30,BUY,NVDA,698048,0.27237433195114136,38309.31578809023
46,2010-09-30,BUY,TSLA,26136,1.4653329849243164,11.37289410829544
47,2010-10-29,SELL,CSCO,436,15.369708061218262,6712.565608799458
48,2010-10-29,SELL,TSLA,24886,1.4126670360565186,41868.19746810198
49,2010-10-29,BUY,INTC,268,13.55683708190918,38234.96513015032
50,2010-10-29,BUY,NVDA,138370,0.2762720286846161,7.204521059989929
51,2010-11-30,SELL,INTC,268,14.236990928649902,3822.7180899381638
52,2010-11-30,SELL,TSLA,77114,2.2886669635772705,180310.9823192358
53,2010-11-30,BUY,CSCO,1148,12.884303092956543,165519.8023685217
54,2010-11-30,BUY,NVDA,525013,0.31524813175201416,10.434973001480103
55,2010-12-31,SELL,TSLA,13545,1.7666670083999634,23939.939601778984
56,2010-12-31,BUY,CSCO,1113,13.407896041870117,9016.951307177544
57,2010-12-31,BUY,NVDA,26222,0.34367766976356506,5.035450637340546
58,2011-01-31,SELL,NVDA,78550,0.5447486639022827,42795.04300016165
59,2011-01-31,BUY,CSCO,3085,13.871835708618164,0.4298390746116638
60,2011-02-12,SELL,CSCO,5346,12.393854141235352,66257.9740781188
61,2011-02-28,SELL,NVDA,555395,0.5300753116607666,360659.15179795027
62,2011-02-28,BUY,CSCO,10502,12.35408878326416,230916.51139611006
