Date,PortfolioValue
2019-01-03,1000000.0
2019-01-04,1000000.0
2019-01-05,1000000.0
2019-01-06,1000000.0
2019-01-07,1000000.0
2019-01-08,1000000.0
2019-01-09,1000000.0
2019-01-10,1000000.0
2019-01-11,1000000.0
2019-01-12,1000000.0
2019-01-13,1000000.0
2019-01-14,1000000.0
2019-01-15,1000000.0
2019-01-16,1000000.0
2019-01-17,1000000.0
2019-01-18,1000000.0
2019-01-19,1000000.0
2019-01-20,1000000.0
2019-01-21,1000000.0
2019-01-22,1000000.0
2019-01-23,1000000.0
2019-01-24,1000000.0
2019-01-25,1000000.0
2019-01-26,1000000.0
2019-01-27,1000000.0
2019-01-28,1000000.0
2019-01-29,1000000.0
2019-01-30,1000000.0
2019-01-31,1000000.0
2019-02-01,1045764.9289300442
2019-02-02,1052996.1518957615
2019-02-03,1052996.1518957615
2019-02-04,1052996.1518957615
2019-02-05,1085079.2701301575
2019-02-06,1090904.5312452316
2019-02-07,1112743.5627224445
2019-02-08,1072222.5575547218
2019-02-09,1077570.02795887
2019-02-10,1077570.02795887
2019-02-11,1077570.02795887
2019-02-12,1065408.913062811
2019-02-13,1099381.3895254135
2019-02-14,1111582.2636425495
2019-02-15,1123325.8418836594
2019-02-16,1143706.0889213085
2019-02-17,1143706.0889213085
2019-02-18,1143706.0889213085
2019-02-19,1143706.0889213085
2019-02-20,1138589.17984581
2019-02-21,1152249.1867449284
2019-02-22,1131848.2376770973
2019-02-23,1156602.9136686325
2019-02-24,1156602.9136686325
2019-02-25,1156602.9136686325
2019-02-26,1153133.5474021435
2019-02-27,1141648.1689219475
2019-02-28,1130025.7138648033
2019-03-01,1124170.1186432838
2019-03-02,1134531.4014811516
2019-03-03,1134531.4014811516
2019-03-04,1134531.4014811516
2019-03-05,1135025.419567585
2019-03-06,1131566.0411410332
2019-03-07,1100742.245917797
2019-03-08,1081503.235903263
2019-03-09,1091019.2597966194
2019-03-10,1091019.2597966194
2019-03-11,1091019.2597966194
2019-03-12,1163424.2501358986
2019-03-13,1172940.4064850807
2019-03-14,1215004.005718708
2019-03-15,1193903.3953003883
2019-03-16,1223210.1739506721
2019-03-17,1223210.1739506721
2019-03-18,1223210.1739506721
2019-03-19,1217279.3318943977
2019-03-20,1263894.510670185
2019-03-21,1254861.553173542
2019-03-22,1320646.2688832283
2019-03-23,1276237.6717095375
2019-03-24,1276237.6717095375
2019-03-25,1276237.6717095375
2019-03-26,1250585.6142048836
2019-03-27,1271893.650446415
2019-03-28,1269342.0214180946
2019-03-29,1274514.0240483284
2019-03-30,1289725.1367139816
2019-03-31,1289725.1367139816
2019-04-01,1289725.1367139816
2019-04-02,1312234.2759919167
2019-04-03,1314818.8746876717
2019-04-04,1353530.334643364
2019-04-05,1337215.3399500847
2019-04-06,1358284.3161911964
2019-04-07,1358284.3161911964
2019-04-08,1358284.3161911964
2019-04-09,1362522.6559844017
2019-04-10,1346136.36225605
2019-04-11,1366138.920829296
2019-04-12,1358158.163134575
2019-04-13,1348142.5333795547
2019-04-14,1348142.5333795547
2019-04-15,1348142.5333795547
2019-04-16,1314071.9493017197
2019-04-17,1340165.9913840294
2019-04-18,1333150.419037342
2019-04-19,1328129.863527298
2019-04-20,1328129.863527298
2019-04-21,1328129.863527298
2019-04-22,1328129.863527298
2019-04-23,1335589.4800891876
2019-04-24,1350058.4577240944
2019-04-25,1350128.4880461693
2019-04-26,1316961.5882792473
2019-04-27,1261652.7025814056
2019-04-28,1261652.7025814056
2019-04-29,1261652.7025814056
2019-04-30,1269428.2692890167
2019-05-01,1276520.3752346039
2019-05-02,1269038.7941827774
2019-05-03,1294337.2303056717
2019-05-04,1303570.3209438324
2019-05-05,1303570.3209438324
2019-05-06,1303570.3209438324
2019-05-07,1285495.3590021133
2019-05-08,1238532.9351930618
2019-05-09,1241153.1881837845
2019-05-10,1216783.316854477
2019-05-11,1206506.9805850983
2019-05-12,1206506.9805850983
2019-05-13,1206506.9805850983
2019-05-14,1134468.0176057816
2019-05-15,1160318.6273880005
2019-05-16,1145681.8156986237
2019-05-17,1145822.6959376335
2019-05-18,1108279.6041698456
2019-05-19,1108279.6041698456
2019-05-20,1108279.6041698456
2019-05-21,1080496.739554882
2019-05-22,1099735.6937971115
2019-05-23,1083112.2633347511
2019-05-24,1054748.1153903008
2019-05-25,1042135.4450025558
2019-05-26,1042135.4450025558
2019-05-27,1042135.4450025558
2019-05-28,1042135.4450025558
2019-05-29,1031557.0150651932
2019-05-30,1014178.0781607628
2019-05-31,1007951.9883127213
2019-06-01,982164.616989851
2019-06-02,982164.616989851
2019-06-03,982164.616989851
2019-06-04,968617.0097224712
2019-06-05,1036178.3602890968
2019-06-06,1025582.6301281452
2019-06-07,1045795.262665987
2019-06-08,1056931.3766741753
2019-06-09,1056931.3766741753
2019-06-10,1056931.3766741753
2019-06-11,1079711.599461317
2019-06-12,1096900.913784027
2019-06-13,1063342.115484953
2019-06-14,1078922.3016991615
2019-06-15,1054766.945381403
2019-06-16,1054766.945381403
2019-06-17,1054766.945381403
2019-06-18,1060957.0065994263
2019-06-19,1114004.4280498028
2019-06-20,1116222.8422410488
2019-06-21,1120467.244868517
2019-06-22,1105410.3963692188
2019-06-23,1105410.3963692188
2019-06-24,1105410.3963692188
2019-06-25,1112128.6943244934
2019-06-26,1102777.3227465153
2019-06-27,1155280.956414938
2019-06-28,1183413.6683177948
2019-06-29,1190577.0589427948
2019-06-30,1190577.0589427948
2019-07-01,1190577.0589427948
2019-07-02,1204765.5028438568
2019-07-03,1176521.4900169373
2019-07-04,1181413.4039497375
2019-07-05,1181413.4039497375
2019-07-06,1163334.7399492264
2019-07-07,1163334.7399492264
2019-07-08,1163334.7399492264
2019-07-09,1141598.380159378
2019-07-10,1142274.895872116
2019-07-11,1162806.4863595963
2019-07-12,1206875.9473285675
2019-07-13,1217061.2834300995
2019-07-14,1217061.2834300995
2019-07-15,1217061.2834300995
2019-07-16,1215630.1014976501
2019-07-17,1214152.5353050232
2019-07-18,1233090.9584712982
2019-07-19,1236270.0646648407
2019-07-20,1224471.9153327942
2019-07-21,1224471.9153327942
2019-07-22,1224471.9153327942
2019-07-23,1244603.1648159027
2019-07-24,1275900.6009750366
2019-07-25,1297721.9679050446
2019-07-26,1256084.0004730225
2019-07-27,1267977.0362548828
2019-07-28,1267977.0362548828
2019-07-29,1267977.0362548828
2019-07-30,1267104.1723308563
2019-07-31,1272326.9115829468
2019-08-01,1224677.0467691422
2019-08-02,1196784.8913908005
2019-08-03,1170488.9093174934
2019-08-04,1170488.9093174934
2019-08-05,1170488.9093174934
2019-08-06,1096185.1807219982
2019-08-07,1107534.575107336
2019-08-08,1118774.7223603725
2019-08-09,1150310.711133957
2019-08-10,1121036.8707726002
2019-08-11,1121036.8707726002
2019-08-12,1121036.8707726002
2019-08-13,1100941.7451679707
2019-08-14,1134251.2966506481
2019-08-15,1089934.7979688644
2019-08-16,1080215.8471701145
2019-08-17,1156472.3357970715
2019-08-18,1156472.3357970715
2019-08-19,1156472.3357970715
2019-08-20,1235767.5012130737
2019-08-21,1215201.6683635712
2019-08-22,1238947.945403576
2019-08-23,1240715.0547060966
2019-08-24,1176826.1616334915
2019-08-25,1176826.1616334915
2019-08-26,1176826.1616334915
2019-08-27,1198098.7297258377
2019-08-28,1172303.0289597511
2019-08-29,1169332.0832247734
2019-08-30,1210221.5714211464
2019-08-31,1214313.4055652618
2019-09-01,1214313.4055652618
2019-09-02,1214313.4055652618
2019-09-03,1214313.4055652618
2019-09-04,1190579.7389082909
2019-09-05,1222562.624777794
2019-09-06,1301434.4498782158
2019-09-07,1293452.0081477165
2019-09-08,1293452.0081477165
2019-09-09,1293452.0081477165
2019-09-10,1307089.97812891
2019-09-11,1326534.4080262184
2019-09-12,1336100.7878189087
2019-09-13,1335524.3501515388
2019-09-14,1318937.0429859161
2019-09-15,1318937.0429859161
2019-09-16,1318937.0429859161
2019-09-17,1306388.774740219
2019-09-18,1312724.0037574768
2019-09-19,1304843.355158329
2019-09-20,1283690.3358006477
2019-09-21,1252849.9438948631
2019-09-22,1252849.9438948631
2019-09-23,1252849.9438948631
2019-09-24,1268155.0679326057
2019-09-25,1249578.5236926079
2019-09-26,1290630.2070941925
2019-09-27,1286027.638891697
2019-09-28,1246447.6996731758
2019-09-29,1246447.6996731758
2019-09-30,1246447.6996731758
2019-10-01,1262492.757528782
2019-10-02,1262607.9808707237
2019-10-03,1255608.7066292763
2019-10-04,1312163.8687119484
2019-10-05,1316550.8013939857
2019-10-06,1316550.8013939857
2019-10-07,1316550.8013939857
2019-10-08,1334148.5411791801
2019-10-09,1284585.9211125374
2019-10-10,1309772.5626635551
2019-10-11,1326121.850376606
2019-10-12,1347439.5984683037
2019-10-13,1347439.5984683037
2019-10-14,1347439.5984683037
2019-10-15,1352679.4769101143
2019-10-16,1422029.8216176033
2019-10-17,1407134.7134718895
2019-10-18,1408050.349635601
2019-10-19,1380527.8877539635
2019-10-20,1380527.8877539635
2019-10-21,1380527.8877539635
2019-10-22,1418799.7095837593
2019-10-23,1416317.272696972
2019-10-24,1412517.2903094292
2019-10-25,1432120.4804310799
2019-10-26,1490655.6569685936
2019-10-27,1490655.6569685936
2019-10-28,1490655.6569685936
2019-10-29,1506412.7517933846
2019-10-30,1477369.1316866875
2019-10-31,1477739.133658886
2019-11-01,1463602.2154192924
2019-11-02,1474598.923591137
2019-11-03,1474598.923591137
2019-11-04,1474598.923591137
2019-11-05,1531312.481022358
2019-11-06,1524898.5990643501
2019-11-07,1511739.0322022438
2019-11-08,1517668.6983847618
2019-11-09,1513868.8955292702
2019-11-10,1513868.8955292702
2019-11-11,1513868.8955292702
2019-11-12,1517518.1169600487
2019-11-13,1528125.388859272
2019-11-14,1520245.8323874474
2019-11-15,1529317.5030121803
2019-11-16,1489852.2382998466
2019-11-17,1489852.2382998466
2019-11-18,1489852.2382998466
2019-11-19,1547249.5149540901
2019-11-20,1517677.639535427
2019-11-21,1539679.8161444664
2019-11-22,1532909.0913939476
2019-11-23,1535825.3523955345
2019-11-24,1535825.3523955345
2019-11-25,1535825.3523955345
2019-11-26,1609575.2090153694
2019-11-27,1578886.7677254677
2019-11-28,1589121.1917014122
2019-11-29,1589121.1917014122
2019-11-30,1578222.8563160896
2019-12-01,1578222.8563160896
2019-12-02,1578222.8563160896
2019-12-03,1523846.0239739418
2019-12-04,1512231.9571442604
2019-12-05,1524935.7236475945
2019-12-06,1519973.2873578072
2019-12-07,1544933.3391947746
2019-12-08,1544933.3391947746
2019-12-09,1544933.3391947746
2019-12-10,1544812.0890421867
2019-12-11,1557690.615515232
2019-12-12,1582176.7953248024
2019-12-13,1630918.8353390694
2019-12-14,1630340.895046711
2019-12-15,1630340.895046711
2019-12-16,1630340.895046711
2019-12-17,1638887.0544905663
2019-12-18,1661916.274213314
2019-12-19,1670887.8184838295
2019-12-20,1714276.678785801
2019-12-21,1742719.5088572502
2019-12-22,1742719.5088572502
2019-12-23,1742719.5088572502
2019-12-24,1738639.7475333214
2019-12-25,1737193.5083527565
2019-12-26,1737193.5083527565
2019-12-27,1741308.6023468971
2019-12-28,1724413.1440634727
2019-12-29,1724413.1440634727
2019-12-30,1724413.1440634727
2019-12-31,1691307.153234005
2020-01-01,1712562.2702345848
